year DOY HR MN      v     d      beta     ma
2020  78  7 41   378.5   5.61   2.94  11.2
2020  78  7 42   378.5   5.61   2.90  11.1
2020  78  7 43 99999.9 999.99 999.99 999.9
2020  78  7 44 99999.9 999.99 999.99 999.9
2020  78  7 45 99999.9 999.99 999.99 999.9
2020  78  7 46 99999.9 999.99 999.99 999.9
2020  78  7 47 99999.9 999.99 999.99 999.9
2020  78  7 48 99999.9 999.99 999.99 999.9
2020  78  7 49   382.1   5.28   2.61  10.6
2020  78  7 50   381.9   5.41   3.32  11.8
2020  78  7 51   382.4   5.59   3.43  11.8
2020  78  7 52   382.2   5.48   3.10  11.4
2020  78  7 53   379.6   5.55   3.00  11.3
2020  78  7 54   377.3   5.83   2.97  11.1
2020  78  7 55   378.9   5.65   2.84  11.0
2020  78  7 56   382.4   5.46   2.44  10.4
2020  78  7 57   377.4   5.72   2.77  10.7
2020  78  7 58   380.3   5.60   2.79  10.7
2020  78  7 59   380.3   5.61   2.47  10.1
2020  78  8  0   379.4   5.43   2.31   9.8
2020  78  8  1   382.2   5.51   2.53  10.1
2020  78  8  2   371.5   5.38   2.57  10.1
2020  78  8  3   381.3   5.52   2.87  10.9
2020  78  8  4   379.6   5.91   3.15  11.4
2020  78  8  5   386.1   5.62   2.60  10.5
2020  78  8  6   389.0   5.51   2.68  10.6
2020  78  8  7   380.0   5.75   3.03  11.1
2020  78  8  8   380.8   5.78   3.03  11.1
2020  78  8  9   386.0   5.80   3.45  11.7
2020  78  8 10   385.5   5.74   3.08  11.2
2020  78  8 11   375.5   6.26   3.10  11.6
2020  78  8 12   375.5   6.26   3.19  11.7
2020  78  8 13 99999.9 999.99 999.99 999.9
2020  78  8 14 99999.9 999.99 999.99 999.9
2020  78  8 15   383.2   5.90   3.38  11.8
2020  78  8 16   383.2   5.90   3.23  11.6
2020  78  8 17   386.0   5.51   2.96  11.5
2020  78  8 18   386.8   5.40   3.22  12.1
2020  78  8 19 99999.9 999.99 999.99 999.9
2020  78  8 20 99999.9 999.99 999.99 999.9
2020  78  8 21 99999.9 999.99 999.99 999.9
2020  78  8 22 99999.9 999.99 999.99 999.9
2020  78  8 23 99999.9 999.99 999.99 999.9
2020  78  8 24 99999.9 999.99 999.99 999.9
2020  78  8 25 99999.9 999.99 999.99 999.9
2020  78  8 26 99999.9 999.99 999.99 999.9
2020  78  8 27 99999.9 999.99 999.99 999.9
2020  78  8 28 99999.9 999.99 999.99 999.9
2020  78  8 29   378.5   6.24   3.84  12.6
2020  78  8 30   378.5   6.24 999.99 999.9
2020  78  8 31 99999.9 999.99 999.99 999.9
2020  78  8 32 99999.9 999.99 999.99 999.9
2020  78  8 33 99999.9 999.99 999.99 999.9
2020  78  8 34   382.7   5.62   3.61  12.3
2020  78  8 35   382.7   5.62   3.30  11.8
2020  78  8 36   382.7   5.62   2.94  11.1
2020  78  8 37 99999.9 999.99 999.99 999.9
2020  78  8 38   381.0   5.60   2.58  10.8
2020  78  8 39   381.0   5.60   2.43  10.5
2020  78  8 40 99999.9 999.99 999.99 999.9
2020  78  8 41 99999.9 999.99 999.99 999.9
2020  78  8 42   383.6   4.93   2.42  10.0
2020  78  8 43   383.6   4.93   2.46  10.1
2020  78  8 44 99999.9 999.99 999.99 999.9
2020  78  8 45 99999.9 999.99 999.99 999.9
2020  78  8 46 99999.9 999.99 999.99 999.9
2020  78  8 47 99999.9 999.99 999.99 999.9
2020  78  8 48   380.2   5.45   2.81  10.7
2020  78  8 49   382.4   5.18   2.74  10.7
2020  78  8 50   385.3   4.80   2.53  10.4
2020  78  8 51   376.7   5.68   3.14  11.1
2020  78  8 52   376.7   5.68   2.98  10.8
2020  78  8 53 99999.9 999.99 999.99 999.9
2020  78  8 54 99999.9 999.99 999.99 999.9
2020  78  8 55 99999.9 999.99 999.99 999.9
2020  78  8 56   371.9   6.41   3.38  10.8
